title,summary
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Regional Sales Executive - Minneapolis,"
From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ...."
Product Manager/Director - Patient Education,"
A global company based in Amsterdam, Elsevier partners with scientists, researchers, healthcare providers, educators and decision-makers in academic..."
Infection Preventionist,"
Current RN license or Clinical Laboratory Scientist. Allina Health is dedicated to the prevention and treatment of illness and enhancing the greater health of..."
Scientist II,"
¿ Proficient at operation of instrumentation and data interpretation. ¿ BS degree in materials science, physics, chemistry or related field...."
Senior Legal Research Analyst,"
Major, Lindsey, and Africas Solutions Practice group is seeking a contract attorney for a Senior Legal Research Analyst position. The Senior Legal Information"
Clinical Research Spec II,"
Experience with Good Clinical Practices (GCP), SOPs, or applicable federal regulations related to the conduct of clinical trials...."
Sr Value Engineer,"
Professionals and scientists, supplying critical information for improving. Responsible for project planning and maintaining of project schedules...."
Laboratory Technician,"
Work with scientists and engineers assisting them as required and communicating with them on a regular basis...."
Field Service Engineer,"
For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying..."
Associate Specialist Customer Technical Support- Shift 12PM-8:30PM Mon-Fri,"
Productivity of medical professionals and scientists, supplying critical. Scientists use our life science research instruments to study complex...."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist with 3 to 12 Years of Insurance Predictive Analytics Exp. Sought in Minnesota #72340W,"
For Position 72340A, a Minnesota office seeks a property and casualty insurance data scientist. R or SAS programming skills preferred...."
"Associate Healthcare Director, Medicare STARS - Comparative Effectiveness / Statistician - US","
As the Associate Health Care Economics Director, you will manage, through quantitative analysis, the health outcome and economic impact of health care..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Applied Statistician,"
As biostatistics, epidemiology, or public health. Research project that you participated in. Familiarity with Stata, including using Stata for data management..."
Data Scientist,"
Prepares and reviews a variety of written, oral, and graphical deliverables containing analyses of Medicaid/CHIP data, methods, procedures, and relevant sources..."
"Sr Associate Data Scientist, Big Data - State & Local Government","
Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Experience with command-line scripting, data structures and..."
Operations Research Analyst,"
Aggregates data and examines existing data for patterns and relationships – organizes data into consumable forms for the leadership team...."
Data Analyst-Jr Data Scientist,"
As Data Analyst- Junior Data Scientist, your primary responsibilities will be…. Manage small to medium project efforts;..."
ANALYST - RESEARCH ANALYST - SOFTWARE DEVELOPMENT,"
Tasks will include automated data analysis, development of human/machine and graphical user interfaces, data visualization and database applications development..."
Data Scientist,"
Experience with R, Python or similar Machine Learning languages/packages. You will work on the latest tools in Machine Learning, Cognitive Computing, Big Data,..."
Data Scientist,"
Utilization of Data Science, Machine Learning, and Statistics concepts to create improvement systems for factory operation...."
Data Scientist,"
Working with large data volumes on Hadoop cluster, including operations and ETL • Utilization of Data Science, Machine Learning, and Statistics concepts to..."
High Performance Computing Developer (HPC),"
In this role, you will work closely with software engineers and data scientists in the R&D engineering group...."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Research Associate II,"
Interact with Scientists, RA’s and Automation Engineers and work as a team. The Natera team consists of highly dedicated statisticians, geneticists, doctors,..."
Program Manager- Research,"
Depending on research may require Clinical Research Coordinator certification. Manages on-going strategic plans for the area...."
Genomics Researcher/Intern,"
Ability to perform basic statistical analysis and data presentation. Strong computer skills for documentation and data management (Excel, Word, Powerpoint, etc...."
R&D Scientist,"
R & D Scientist – Lubrizol Oilfield Solutions, Oilfield Chemistry. Manage time effectively and efficiently to ensure adequate safety standards are attained...."
Senior Market Research Analyst,"
Designing the analytical framework for evaluating strategic opportunities to ensure that consumer and business products and services are meeting customer needs;..."
ANALYST - ENGINEER - RESEARCH ENGINEER - HUMAN PERFORMANCE,"
Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information...."
Business Data Analyst,"
Business Data Analyst – Mobile Devices to join our Data Sciences team. Applicable workplace experience with SQL. Business Data Analyst – Mobile Devices*...."
Data Engineer - Austin,"
Work closely with stakeholders on the data demand side (analysts and data scientists). Create and manage data sources...."
Big Data Advanced Analytics Core Platform Technical Specialist,"
Deep Expertise leveraging next generation tools and techniques such as Hadoop Ecosystem, MapReduce, Spark, HBase, Hive, Impala, Kafka, Flume, SQL and NoSQL data..."
Data Scientist / Senior Research Associate,"
Acquiring project data from primary research and secondary data sources. Identifying new sources for acquiring project data (such as state agencies, community..."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Computational Scientist,"
Advanced knowledge of Fortran, C or C++, parallel programming with OpenMP, MPI , CUDA or OpenACC, Java, Linux, Databases, big data analytics and design...."
Data Scientist,"
Analyzing the data and identifying data sources- Determining appropriate types of data analytics to be performed- Selecting and applying data analysis..."
Part Time Flood Map Research Analyst,"
Obtain and evaluate all relevant information used in completing Flood Zone Determinations. Part Time Flood Map Research Analyst...."
Staff Hadoop Developer,"
You’ll partner with our Data Scientist to understand objectives, then work alongside our Engineers and Analysts to build data streams that power our analytical..."
Machine Learning Algorithm Developer Engineer,"
You will take a leadership role in our algorithm team to develop machine learning and behavior matching with respect to jobs, culture, work environments and..."
Research Analyst,"
The Research Analyst is responsible for conducting research in various real estate markets in order to find the best available locations for our clients...."
IR Research/Systems Analyst,"
Conducts analysis of data by employing scientific research methods; Coordinates, prepares, edits and submits intra-state, inter-state and federal reports and/or..."
Research Enrollment Analyst,"
Plans, coordinates, schedules and prepares materials for project meetings, including staff meetings and advisory committee meetings...."
Environmental Scientist 2,"
Assimilate and manage data. We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders,..."
Research Assistant III -- Flow Cytometry,"
The facility provides training, sorting, analysis and maintenance services to all scientists. Analysis of flow cytometry data...."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Computational Scientist,"
Advanced knowledge of Fortran, C or C++, parallel programming with OpenMP, MPI , CUDA or OpenACC, Java, Linux, Databases, big data analytics and design...."
Data Scientist,"
Analyzing the data and identifying data sources- Determining appropriate types of data analytics to be performed- Selecting and applying data analysis..."
Part Time Flood Map Research Analyst,"
Obtain and evaluate all relevant information used in completing Flood Zone Determinations. Part Time Flood Map Research Analyst...."
Staff Hadoop Developer,"
You’ll partner with our Data Scientist to understand objectives, then work alongside our Engineers and Analysts to build data streams that power our analytical..."
Machine Learning Algorithm Developer Engineer,"
You will take a leadership role in our algorithm team to develop machine learning and behavior matching with respect to jobs, culture, work environments and..."
Research Analyst,"
The Research Analyst is responsible for conducting research in various real estate markets in order to find the best available locations for our clients...."
IR Research/Systems Analyst,"
Conducts analysis of data by employing scientific research methods; Coordinates, prepares, edits and submits intra-state, inter-state and federal reports and/or..."
Research Enrollment Analyst,"
Plans, coordinates, schedules and prepares materials for project meetings, including staff meetings and advisory committee meetings...."
Environmental Scientist 2,"
Assimilate and manage data. We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders,..."
Research Assistant III -- Flow Cytometry,"
The facility provides training, sorting, analysis and maintenance services to all scientists. Analysis of flow cytometry data...."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Lead Data Science Instructor,"
Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers..."
Machine Learning Researcher - BMW Technology Corporation,"
Develop novel and useful machine learning and data mining techniques, as well as assess 3rd party machine learning and data mining components...."
Big Data Engineer (Python),"
Work with Data Scientists to automate and implement advanced analytical models. We need a talented developer to help us design and build the services that will..."
Senior Developer,"
Experience with support of researchers and scientists. Must be able to manage a complex project and maintain accuracy while working on complex tasks...."
Research Data Analyst Associate,"
Critical thinking, Data mining, Data modeling, Decision making, Problem solving. The Research Data Analyst Associate utilizes multiple quantitative and..."
Transit Market Research Analyst,"
Aptitude for working with data and conducting analyses using statistical packages, databases and spreadsheets, e.g. SPSS, SQL, R, and/or Excel...."
Senior Statistical Analyst,"
These services are supplied in the context of a cooperative and project-oriented effort with the Global Project Teams (GPTs) and Product Safety teams (PSTs) in..."
Big Data Engineer,"
Experience ensuring that data flows smoothly from source to destination and supports business users such as analysts and data scientists in their ability to..."
Quantitative Analyst,"
Comprehensive health insurance plans. Allstate is looking for more analytical leaders, subject matter experts who can drive decisions as Allstate transforms and..."
"Director, RWI Data Science","
The leader will manage a group of data scientists, modelers and solution architects and lead large and/or complex projects, interact with cross functional teams..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Senior Revenue & Operations Research Analyst,"
Use SQL language and data management software to summarize major behavioral trends from large ridership and sales databases...."
Scientist,"
The primary function is to conduct research for the development of diagnostics products.The major responsibilities include conducting experiments, summarizing..."
Jr Quantitative Reasearch Analyst,"
Junior Quantitative Research Analysts, Chicago, IL Chicago IL Jobs, Junior Quantitative Research Analyst, C++, Math, Financial, Chicago Recruiters,"
"Manager of Data Science (Python, R)","
They need someone with the experience to be hands-on with their data and analytical tools as well as manage and mentor a small team of more junior data..."
R&D Scientist,"
Able to manage multiple projects, priorities, and deadlines. Effectively applies data analysis tools (e.g., spreadsheets, Accolade) to maximize efficiency...."
Research Analyst,"
Develops the ability to carry out all aspects of project management, including project planning, project execution, and client relations...."
Researcher / Data Scientist,"
Researcher / Data Scientist, Chicago, IL. Chicago IL Jobs, Researcher/Data Scientist, NoSQL, Scripting, Modeling Language, Quantitative Analysis, Chicago..."
Data Analyst,"
Manage incoming ad-hoc reporting requests and data related inquiries. Experience with online testing web analytics and testing platform is a plus (Google..."
SR. HEALTHCARE DATA SCIENTIST,"
Strong working knowledge of advanced data mining algorithms including predictive modeling, multivariate modeling, decision-trees, probability networks,..."
Data Analyst - Market Research,"
Manage time wisely to handle multiple projects \*. Product Evaluations Inc., established in 1971, is the leading market research company in the food service..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Sponsored Award Analyst,"
These scholars pursue this mission through research, the education of basic scientists, physicians, and others interested in living things, and through..."
Data Scientist 21867,"
Experience with Data Mining, Machine Learning and related algorithms. Experience with statistical data analysis using Python, R, Stata, SQL, C++, and/or Java..."
Research Analyst,"
Excellent project management skills (Timelines, budgets, project meetings, documentation, metrics). Review all specifications of research projects with project..."
Senior Data Scientist,"
The ideal candidate will be or have desire to become a subject matter expert, tasked with mentoring junior team members and communicating with multiple business..."
Scientist I,"
PhD in clinical laboratory science, chemical, physical or biological science and 1 year of experience in clinical cytogenomics...."
Quantitative Analyst,"
Duties & Accountabilities Analyze clients' trading activity, identify any possible patterns and trends and communicate with clients to help them improve their..."
Principal Statistician,"
Plans data collection; Adjusts and weighs raw data; As a trusted systems integrator for more than 50 years, General Dynamics Information Technology provides..."
Geospatial Data Scientist,"
Candidates should draw from the fields of GIS, statistics, machine learning and/or predictive analytics. Manages data and data requests to improve the accuracy..."
GrubHub - Data Engineer,"
Collaborate with data scientists to design and develop processes to further business unit and company-wide data science initiatives on a common data platform...."
Research Data Analyst,"
Flexible spending plans for health care and dependent care; Creating weekly market updates for firm use, including augmentation of data metrics for asset..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Statistical Research Specialist,"
Accessing and analyzing ambulatory and in-patient clinical data from SIU Department of Internal Medicine electronic health records that will be contained in an..."
Big Data Senior Consultant,"
Experienceworking as a Data Scientist. 3+years of relevant technology architecture consulting or industry experience toinclude experience in Information..."
Hydrologist,"
Other skills include GIS and data processing (extracting data from model output files) using R, matlab, python, or any other coding methods...."
"EDW Developer/Chicago, IL/Excellent Employer","
Experience with support of researchers and scientists. Designs databases and data structures. Prioritizes tasks within project...."
Market Research Analyst,"
Proven ability to manage and deliver on multiple tasks within fast paced environment with critical deadlines. Develop and maintain dashboards for monitoring key..."
Research Scientist I,"
Maintain current knowledge of relevant Quality System Regulations and other regulatory requirements related to research and development (product development,..."
Research Professional,"
Advanced knowledge in relevant scientific field required. Research Professional (Research Scientist) will independently design, develop, and implement..."
Associate Scientist I,"
Shall be able to perform under pressure to meet project deadlines. Must possess a BS in molecular biology, biochemistry, or related field with at least one to..."
Principal Statistical Analyst,"
Collaborates primarily with other statistical programmers, statisticians, and data managers, as well as with clinical teams, to achieve study and project goals...."
Lead Data Scientist (Graph Analytics),"
A leading provider of healthcare insurance across the country is growing out their analytics department in their Chicago office and hiring for a Lead Data..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Senior Statistical Programmer,"
Provide statistical support for clinical research questions on clinical trial data in an FDA 21 CFR Part 11 regulated environment...."
SAR Image Scientist – Data Exploitation,"
Interface with national and defense laboratory scientists and Advanced Geospatial Intelligence (AGI) analysts at various sites to ensure our systems are at the..."
Senior Statistical Programmer,"
The Lead/Senior Statistical Programmer supports clinical trials in the areas of creation and maintenance of programs used for data entry, data management, data..."
Data Scientist,"
As our primary data scientist, you will dive deep into our customer data to identify the actions and behaviors of successful small business marketing, and use..."
Sr. Statistical Process Control (SPC) Technician,"
Sr. Statistical Process Control (SPC) Technician Location: Spencer, MA Department: SPC Position Summary: FLEXcon (a global manufacturer of self-adhesive"
"Research Analyst, Enrollment and Student Affairs","
Collect, extract and analyze programmatic data. Manage research projects as assigned by the Office of the Vice President for Enrollment and Student Affairs...."
"Sr. Manager, Data Scientist","
Other programming languages is a plus.· Demonstrated ability to effectively communicate and negotiate across the business and in the external health care..."
Scientific Services Specialist,"
The Facility requires Supplier to provide lab support services to support routine work across programs, increasing efficiency and allow senior scientists in..."
Scientist,"
Offer of employment with Siemens is conditioned upon the successful completion of a background check and drug screen, subject to applicable laws and regulations..."
Data Analyst / Senior Healthcare Data Analyst,"
Work with engineers and data scientists to develop innovative solutions to abstract and integrate data from diverse sources...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Machine Learning Engineering Manager,"
We are looking for a Machine Learning Chapter Lead to drive the machine learning and data engineering practice within the Quest mission...."
Medical Informatics Analyst,"
Medical Informatics (MI) Analyst is an applied scientist with a problem-solving mindset, responsible for analyzing clinical data, uncovering the underlying data..."
Chief Data Scientist,"
Bachelor’s degree in data science or relevant field. A start up in downtown Boston in the Ad-tech industry is looking to hire their first Chief Data Scientist...."
Research Analyst,"
Candidates should also have experience using SPSS, R, or Stata (or similar software) for data analysis as well as using Microsoft Office products for developing..."
BioProcess Applications Scientist,"
Knowledge and understanding of all Environmental Health Policies (including but not limited to GE Healthcare EHS Policies, and operate within them to ensure..."
Business Operations Intern,"
Earthwatch supports field research that utilizes highly motivated non-specialist volunteers, also called citizen scientists, to collect data...."
Software Engineer for Genomics Research - 191093,"
Work in a multidisciplinary environment of computer engineers, scientists, bioinformaticians, and clinicians to develop clinically relevant applications of Next..."
Machine Learning Data Scientist,"
Design, develop, and prototype machine learning and statistical analysis techniques to automate clinical decision making, including deep learning, collaborative..."
"Associate Statistician – Modeling & Simulation – Waltham, MA","
Through its market leading portfolio of health economics, outcomes research, market access, data analytics and epidemiology services, it partners with life..."
Research Scientist - Aging in Place Technologies - 191094,"
Our interests include personal health sensors/data collected outside the clinical domain, mobile health, predictive modeling, and field deployments of..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Statistical Programmer,"
Production of clinical study report deliverables, including analysis datasets, summary tables, figures and listings are relevant qualifications for this..."
Research Analyst,"
Research Analysts will develop a deep understanding of the types of data we collect, as well as the data collection process...."
Research Scientist,"
Lead and mentor junior scientists. We offer a competitive compensation and benefits package including 401k, health benefits and vacation...."
Senior Data Scientist – Computational Biologist,"
Experience with algorithm development, data mining, Natural-Language Processing (NLP), machine learning, and artificial intelligence...."
Clinical Research Associate,"
A Master's Degree in Public Health or Clinical Research or a Certificate in Clinical Investigation is preferred...."
SAR Image Scientist - Image Formation,"
Interface with national and defense laboratory scientists to ensure our systems are at the leading edge with regard to data processing...."
Senior Python Engineer,"
Developing new features for the data science platform.Supporting internal clients on data science projects.Designing the architecture and scheduling of large..."
Biomarker Statistician (Biostatistician) (2899),"
Provide statistical input on biomarker-related sections in clinical study-related and regulatory documents (protocol, SAP, genomics data specs, IND/NDA)...."
IT Helpdesk Internship,"
Earthwatch supports field research that utilizes highly motivated non-specialist volunteers, also called citizen scientists, to collect data...."
Sr Scientist Downstream,"
In Scientific discipline with 4 years of relevant experience in downstream manufacturing technical support or downstream process development in the..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Big Data Analytics Manager,"
Deliver client analytics projects as part of broader team of data scientists and industry/solution professionals by working with the appropriate technical..."
Marketing Research Analyst,"
Provide analyses and interpretations of campaign data and market insights to identify key drivers for Marketing Return on Investment (ROI) optimization...."
Cognitive Software Engineer,"
Proven track record of leading a team of developers and data scientists. A successful candidate will be technically deep with an established background in..."
RESEARCH ANALYST - SR. RESEARCH ANALYST - TRANSPORTATION SYSTEMS,"
Must have background or experience in areas of research and software development such as Intelligent Transportation Systems, Smart City, TSM&O, Decision Support..."
Senior Marketing Data Scientist,"
Senior Marketing Data Scientist. Working knowledge of applications such as R, SAS, SQL, Google Analytics, Tableau or Qlik, Alteryx, and Microsoft Access and..."
Sharepoint Systems Analyst,"
Data Scientist experience. Work with business clients and technology resources to gather, perform analysis, and document mortgage industry project requirements..."
Data Scientist,"
At least 6 years of experience in Data warehousing. At least 6 years of experience in Project life cycle activities on development and maintenance projects...."
"Associate Instructor, Data Scientist","
Associate Instructor, Data Scientist. Join us in building the world's hub for education in data science and data engineering...."
Data Science Intern - Plano Only - Other Amazing Universities,"
Integrate internal data with external data sources and APIs to discover actionable insights. Evaluate open source and internally-developed modeling and..."
Research Scientist - Obstetrics & Gynecology,"
Job Duties Plans, organizes, coordinates, directs, and personally participates in assigned scientific or medical research project...."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Acquisition Marketing Data Scientist - 19268,"
ACQUISITION MARKETING DATA SCIENTIST*. 2-3 years of professional experience in data scientist role. Our client is looking for a high caliber Data Scientist to..."
Data Scientist-Big Data,"
Data driven analytics, event driven analytics, sets of analytics orchestrated through rule engines. Data Scientist-Big Data...."
HR Analyst with Data Analysis Experience,"
Experience with data mining. Experience with data visualization using tools such as Tableau or Cognos. Experience with data analysis...."
"Forensic Scientist I-III(DNA Analysis), LES- Weslaco","
Salary is contingent upon qualifications and is subject to salary administration and budgetary restrictions. Ability to present scientific data and the results..."
Assistant Professor,"
Knowledge of SQL server management and SQL programming is a plus, as is knowledge of Labview and C++. 5+ years experience with scientific programming in MATLAB..."
Data Engineer – SQL Server,"
Our data platform utilizes a polyglot persistence pattern using SQL Server, MongoDB, ElasticStack, Redis, Hadoop and other technologies to deliver a suite of..."
Lead Healthcare Data Analyst - Dallas or Easton,"
Health Integrity, a wholly-owned subsidiary of Quality Health Strategies, Inc., is dedicated to protecting the fiscal and clinical integrity of healthcare..."
Economist Scientist,"
Working together, and differentiated by our superior data, analytics and data-enabled solutions, we empower our clients to make smarter business decisions..."
Staff Statistician 4,"
Experience in a scientific programming language, such as C, or a scripting. Answering data management questions from users via email...."
Business Analyst With Data Analysis,"
Visio, Data Mapping, Business Process, Data Migration, Data Integration between legacy and latest applications. BA With Data Analysis...."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Junior Data Scientist,"
Provide subject matter expertise and hands-on delivery of image or video processing, predictive analysis, and advanced data analytics projects...."
Worldwide CoC Team – Data Scientist and Senior Strategy Consultant,"
Up to 2 years of experience as a strategy consultant or analytical role applying data mining, text analytics, visualizations or optimization modeling...."
SAP Big Data Consultant Job,"
Big Data, Analytics and Data experience:. Participate in the design, implementation and support of SAP Big Data, Analytics, HANA and Cloud solutions in..."
Business Operations Analyst I (Refund/Payment Research),"
Successfully engage in multiple initiatives simultaneously Work independently with users to define concepts and under direction of project managers Drive and..."
Data Scienitist for Leading Big Data firm,"
We are looking for a Data Scientist. As a Data Scientist you’ll play a major role in how they architect, visualize, and interpret critical data that is at the..."
Engineer/Project Scientist for Emergency Response,"
Data Management, training in and use of the scientific method, some personnel supervision, various exposure to technical and scientific procedures, Decision..."
Scientist Technologist,"
Conducts a significant level of technical work as defined in the project plan and documents this work through the appropriate means including laboratory..."
Sr. Data Scientist,"
Data Scientist will provide insights and. Data Scientist will collaborate with Boeing. And machine learning algorithms, experience working with...."
Data Scientist,"
We are looking for a true renaissance data scientist who is both machine learning expert and engineer, but is also comfortable wearing the hat of statistician..."
Data Scientist Opportunity,"
Perform ad hoc statistical, data mining, and machine learning analysis on complex business problems related to call volumes, customer experience and call..."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Senior Quantitative Analyst - Marketing,"
Marketing Analytics, Research and Administration (MARA) provides fact-based analytics, research and insights to drive and influence decision-marking that..."
Financial Data Scientist (Machine Learning),"
We are a global multi-strategy hedge fund with over 11 billion in AUM located in Downtown Chicago is looking for an experienced Data Scientist with an..."
Quantitative Analyst,"
Experience with time-series data or large data set analysis a plus. R or Python:. PhD/MS or BS with equivalent work experience in computer science, engineering,..."
Senior Survey Research Analyst,"
Analyzes and interprets survey data. Courses in health and safety, statistics, psychometrics, survey research, research methods or experimental design...."
Senior Research Analyst - Global Real Asset Debt,"
Bachelor’s degree and 5 to 8 years of relevant investment experience is required. Nuveen Asset Management’s Real Asset investment philosophy incorporates an..."
SR. HEALTHCARE DATA SCIENTIST,"
Strong working knowledge of advanced data mining algorithms including predictive modeling, multivariate modeling, decision-trees, probability networks,..."
Data Scientist / Risk Modeling,"
Exp in data mining and Machine learning, HPC, parallel processing. We have an Urgent Direct Client Requirement - Data Scientist...."
Data Scientist -Speech Recognition,"
Data Scientist -Speech Recognition. Creating machine learning models from development through testing and validation to our 30+ million customers in production...."
Data Scientist,"
Seeking a Senior Data Scientist with experience and knowledge of analytics to solve large-scale, enterprise, complex, and challenging business problems...."
Operations Research Analyst 2,"
Consolidates data from one or more source systems, cleanses and analyzes data, and presents summary of findings...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Research Specalist #5 Pathology Dept.,"
In particular, we are looking for support in performing bench work and expertise in next-generation sequencing data analysis, proteomics data analysis,..."
Data Scientist,"
Leveraging 20 years of experience, Valence Health works with clients to design, build and manage customized value-based care models including clinically..."
Clinical Statistician (Genomics and Biomarker),"
Clinical Statistician II - C*. Expertise in predictive modeling, machine learning, and variety of classical statistical methods such as mixed-effects-models,..."
Entry-level Engineer/Scientist (Solid Waste),"
Collection and interpretation of scientific data. Liaison between on-site subcontractors and project manager. Development of plans, analyses, evaluations, maps,..."
Data Scientist - Engineering,"
Master’s degree in a technical field, such as statistics, machine learning, physics, engineering, or computer science or a bachelor’s degree and outstanding..."
Senior Analytics Developer,"
Our platforms support a diverse group of data scientists, data wranglers, business analysts, product strategists, and market analysts, as well as a broad base..."
Senior Data Scientist,"
The company that’s been working with marketing data since before it was cool is looking for a Senior Data Scientist...."
Research Scientist,"
The position will be integrated in cross-functional project teams with new product development and engineering personnel...."
Senior Data Scientist - Statistics,"
PhD in microeconomics, econometrics, statistics, physics, or a comparable subject-- ABD with outstanding work or publication record may be considered...."
Software Scientist- Python,"
If you’re a software engineer who’s interested in Data Science, petabytes of data, and researching deadly diseases, not only are you really smart, but you’d fit..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Data Analysis Auditor,"
Proficiency in a data analytics application, such as SAS, ACL, AQT, SQL, Python, MySQL, SYSSTAT, IDEA, etc...."
Product Development Scientist - Baking,"
Deliver Product Development assessments, using R&D technology capabilities, market trends, consumer insights, competitive environment and other inputs, to..."
Mid-Level Data Scientist,"
Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,...."
Sr. Data Scientist,"
Continually support a strategic viewpoint as subject matter experts vs. data support to client Qualifications...."
Principal Statistical Analyst,"
MS degree in Analytics, Statistics, or Mathematics fields and 12+ years of Analytics experience or PhD degree and 10+ years of Analytics experience...."
Computational Biologists- Pharmacogenomics,"
Experience in genomic medicine, deep phenotyping, clinical data mining, adverse drug events, drug-drug interactions, clinical data mining, network medicine,..."
